Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km],
CHEVROLET,Aveo,1.2 S 3 door Hatchback (with a/c),M5,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1412,4,70.1,0.680,0.060,0.010,,,
CHEVROLET,Aveo,1.2 S 3 door Hatchback (without a/c),M5,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1412,4,70.1,0.680,0.060,0.010,,,
CHEVROLET,Aveo,1.2 S 5 door Hatchback (without a/c),M5,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1412,4,70.1,0.680,0.060,0.010,,,
CHEVROLET,Aveo,1.2 LS 3 door Hatchback,5MT,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1412,4,70.1,0.680,0.060,0.010,,,
CHEVROLET,Aveo,1.2 LS 5 door Hatchback,M5,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1412,4,70.1,0.680,0.060,0.010,,,
CHEVROLET,Aveo,1.4 LT 5 door Hatchback,M5,1399,Petrol,7.9,4.7,5.9,35.8,60.1,47.9,140,1515,4,70.8,0.670,0.080,0.020,,,
CHEVROLET,Aveo,1.4 LT Auto 5 door Hatchback,A4,1399,Petrol,8.6,5.1,6.4,32.8,55.4,44.1,152,1645,4,70.0,0.490,0.060,0.020,,,
CHEVROLET,Captiva ,2.4 LS 2WD 5 seats,M5,2405,Petrol,12.0,7.1,8.9,23.5,39.8,31.7,217,2289,4,73.9,0.200,0.020,0.010,,,
CHEVROLET,Captiva ,2.0 VCDi LS  2WD 5 seats,M5,1991,Diesel,8.8,6.2,7.2,32.1,45.6,39.2,191,1934,4,72.9,0.080,,0.220,0.250,0.002,
CHEVROLET,Captiva ,2.0 VCDi LT 4WD 5 seats,M5,1991,Diesel,8.8,6.8,7.6,32.1,41.5,37.1,197,2044,4,74.0,0.150,,0.250,0.280,0.004,
CHEVROLET,Captiva ,2.0 VCDi LT 4WD 7 seats,M5,1991,Diesel,8.8,6.8,7.6,32.1,41.5,37.1,197,2044,4,74.0,0.150,,0.250,0.280,0.004,
CHEVROLET,Captiva ,2.0 VCDi LT 4WD 7 seats,A5,1991,Diesel,10.7,7.3,8.6,26.4,38.7,32.8,225,2312,4,74.7,0.080,,0.300,0.320,0.002,
CHEVROLET,Captiva ,2.0 VCDi LTZ 4WD 7 seats,M5,1991,Diesel,8.8,6.8,7.6,32.1,41.5,37.1,197,2044,4,74.0,0.150,,0.250,0.280,0.004,
CHEVROLET,Captiva ,2.0 VCDi LTZ 4WD 7 seats,A5,1991,Diesel,10.7,7.3,8.6,26.4,38.7,32.8,225,2312,4,74.7,0.080,,0.300,0.320,0.002,
CHEVROLET,Cruze,2.0 VCDi S (125PS) 4 door Saloon (with a/c),M5,1991,Diesel,7.0,4.6,5.5,40.4,61.4,51.4,145,1475,4,70.9,0.230,,0.150,0.220,0.004,
CHEVROLET,Cruze,2.0 VCDi LS (125PS) 4 door Saloon (with a/c),M5,1991,Diesel,7.0,4.6,5.5,40.4,61.4,51.4,145,1475,4,70.9,0.230,,0.150,0.220,0.004,
CHEVROLET,Cruze,2.0 VCDi LT (150PS) 4 door Saloon (with a/c),M5,1991,Diesel,7.0,4.8,5.6,40.4,58.9,50.4,149,1505,4,70.3,0.130,,0.170,0.200,0.002,
CHEVROLET,Cruze,2.0 VCDi LT (150PS) 4 door Saloon (with a/c),A6,1991,Diesel,8.6,5.5,6.7,32.8,51.4,42.1,177,1801,4,69.0,0.090,,0.190,0.230,0.002,
CHEVROLET,Lacetti,1.4 SE 5 door Hatchback (with a/c),M5,1399,Petrol,9.8,5.7,7.2,28.8,49.5,39.2,165,1851,4,68.6,0.540,0.050,0.020,,,
CHEVROLET,Lacetti,1.4 SE 5 door Hatchback (without a/c),M5,1399,Petrol,9.8,5.7,7.2,28.8,49.5,39.2,165,1851,4,68.6,0.540,0.050,0.020,,,
CHEVROLET,Lacetti,1.6 SX 5 door Hatchback,M5,1598,Petrol,9.2,5.9,7.1,30.7,47.8,39.7,178,1828,4,71.2,0.500,0.040,0.010,,,
CHEVROLET,Lacetti,1.6 SX Auto 5 door Hatchback,A4,1598,Petrol,11.4,6.1,8.1,24.7,46.3,34.9,195,2079,4,69.2,0.240,0.050,0.020,,,
CHEVROLET,Lacetti,1.6 SX Station Wagon,M5,1598,Petrol,10.1,6.4,7.8,27.9,44.1,36.2,181,2004,4,71.2,0.440,0.060,0.020,,,
CHEVROLET,Lacetti,1.8 CDX 4 door Saloon,M5,1796,Petrol,9.9,5.9,7.4,28.5,47.8,38.1,183,1904,4,71.7,0.730,0.050,0.020,,,
CHEVROLET,Lacetti,1.8 SX Auto Station Wagon,A4,1796,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,210,2260,4,68.1,0.340,0.040,0.010,,,
CHEVROLET,Lacetti,1.8 Sport 5 door Hatchback,M5,1796,Petrol,9.9,5.9,7.4,28.5,47.8,38.1,183,1904,4,71.7,0.730,0.050,0.020,,,
CHRYSLER JEEP,"Chrysler Grand Voyager, MY 2010",3.8,A6,3778,Petrol,18.3,8.8,12.3,15.4,32.1,23.0,294,3155,4,73.0,0.624,0.046,0.011,,,
CHRYSLER JEEP,"Chrysler Grand Voyager, MY 2011",2.8 CRD,A6,2777,Diesel,11.0,7.0,8.4,25.7,40.4,33.6,222,2257,4,73.0,0.024,,0.288,0.299,0.053,
CITROEN,C1,1.0i PMCFAC,M5,998,Petrol,5.5,3.9,4.5,51.4,72.4,62.8,106,1155,4,70.0,0.370,0.050,0.010,,,
